Dif_Acidification,"('Land_app', 'perNasNH3fc')","('initflow', 'N_cont')"
0.100632,1,0.0051
0.056122,6.444444444,0.0051
0.011613,11.88888889,0.0051
-0.032896,17.33333333,0.0051
-0.077405,22.77777778,0.0051
-0.121914,28.22222222,0.0051
-0.166423,33.66666667,0.0051
-0.210933,39.11111111,0.0051
-0.255442,44.55555556,0.0051
-0.299951,50,0.0051
0.146627,1,0.007644444
0.079912,6.444444444,0.007644444
0.013197,11.88888889,0.007644444
-0.053518,17.33333333,0.007644444
-0.120234,22.77777778,0.007644444
-0.186949,28.22222222,0.007644444
-0.253664,33.66666667,0.007644444
-0.320380,39.11111111,0.007644444
-0.387095,44.55555556,0.007644444
-0.453810,50,0.007644444
0.192623,1,0.010188889
0.103702,6.444444444,0.010188889
0.014780,11.88888889,0.010188889
-0.074141,17.33333333,0.010188889
-0.163062,22.77777778,0.010188889
-0.251984,28.22222222,0.010188889
-0.340905,33.66666667,0.010188889
-0.429826,39.11111111,0.010188889
-0.518748,44.55555556,0.010188889
-0.607669,50,0.010188889
0.238619,1,0.012733333
0.127492,6.444444444,0.012733333
0.016364,11.88888889,0.012733333
-0.094763,17.33333333,0.012733333
-0.205891,22.77777778,0.012733333
-0.317018,28.22222222,0.012733333
-0.428146,33.66666667,0.012733333
-0.539273,39.11111111,0.012733333
-0.650401,44.55555556,0.012733333
-0.761528,50,0.012733333
0.284615,1,0.015277778
0.151281,6.444444444,0.015277778
0.017948,11.88888889,0.015277778
-0.115386,17.33333333,0.015277778
-0.248719,22.77777778,0.015277778
-0.382053,28.22222222,0.015277778
-0.515387,33.66666667,0.015277778
-0.648720,39.11111111,0.015277778
-0.782054,44.55555556,0.015277778
-0.915387,50,0.015277778
0.330611,1,0.017822222
0.175071,6.444444444,0.017822222
0.019531,11.88888889,0.017822222
-0.136008,17.33333333,0.017822222
-0.291548,22.77777778,0.017822222
-0.447088,28.22222222,0.017822222
-0.602627,33.66666667,0.017822222
-0.758167,39.11111111,0.017822222
-0.913707,44.55555556,0.017822222
-1.069246,50,0.017822222
0.376606,1,0.020366667
0.198861,6.444444444,0.020366667
0.021115,11.88888889,0.020366667
-0.156631,17.33333333,0.020366667
-0.334377,22.77777778,0.020366667
-0.512122,28.22222222,0.020366667
-0.689868,33.66666667,0.020366667
-0.867614,39.11111111,0.020366667
-1.045360,44.55555556,0.020366667
-1.223105,50,0.020366667
0.422602,1,0.022911111
0.222650,6.444444444,0.022911111
0.022699,11.88888889,0.022911111
-0.177253,17.33333333,0.022911111
-0.377205,22.77777778,0.022911111
-0.577157,28.22222222,0.022911111
-0.777109,33.66666667,0.022911111
-0.977061,39.11111111,0.022911111
-1.177013,44.55555556,0.022911111
-1.376964,50,0.022911111
0.468598,1,0.025455556
0.246440,6.444444444,0.025455556
0.024282,11.88888889,0.025455556
-0.197876,17.33333333,0.025455556
-0.420034,22.77777778,0.025455556
-0.642192,28.22222222,0.025455556
-0.864350,33.66666667,0.025455556
-1.086508,39.11111111,0.025455556
-1.308666,44.55555556,0.025455556
-1.530824,50,0.025455556
0.514594,1,0.028
0.270230,6.444444444,0.028
0.025866,11.88888889,0.028
-0.218498,17.33333333,0.028
-0.462862,22.77777778,0.028
-0.707226,28.22222222,0.028
-0.951590,33.66666667,0.028
-1.195954,39.11111111,0.028
-1.440319,44.55555556,0.028
-1.684683,50,0.028
