Dif_gwp,"('Material_Properties', 'mcFC')","('initflow', 'C_cont')"
71.66768,0.18,0.1
-5.347063,0.18,0.141111111
-82.361806,0.18,0.182222222
-159.376549,0.18,0.223333333
-236.391293,0.18,0.264444444
-313.406036,0.18,0.305555556
-390.420779,0.18,0.346666667
-467.435522,0.18,0.387777778
-544.450265,0.18,0.428888889
-621.465008,0.18,0.47
80.069423,0.234444444,0.1
8.168125,0.234444444,0.141111111
-63.733174,0.234444444,0.182222222
-135.634472,0.234444444,0.223333333
-207.53577,0.234444444,0.264444444
-279.437068,0.234444444,0.305555556
-351.338366,0.234444444,0.346666667
-423.239664,0.234444444,0.387777778
-495.140963,0.234444444,0.428888889
-567.042261,0.234444444,0.47
88.471165,0.288888889,0.1
21.683312,0.288888889,0.141111111
-45.104541,0.288888889,0.182222222
-111.892394,0.288888889,0.223333333
-178.680247,0.288888889,0.264444444
-245.4681,0.288888889,0.305555556
-312.255954,0.288888889,0.346666667
-379.043807,0.288888889,0.387777778
-445.83166,0.288888889,0.428888889
-512.619513,0.288888889,0.47
96.872908,0.343333333,0.1
35.1985,0.343333333,0.141111111
-26.475908,0.343333333,0.182222222
-88.150317,0.343333333,0.223333333
-149.824725,0.343333333,0.264444444
-211.499133,0.343333333,0.305555556
-273.173541,0.343333333,0.346666667
-334.847949,0.343333333,0.387777778
-396.522357,0.343333333,0.428888889
-458.196765,0.343333333,0.47
105.27465,0.397777778,0.1
48.713687,0.397777778,0.141111111
-7.847276,0.397777778,0.182222222
-64.408239,0.397777778,0.223333333
-120.969202,0.397777778,0.264444444
-177.530165,0.397777778,0.305555556
-234.091128,0.397777778,0.346666667
-290.652092,0.397777778,0.387777778
-347.213055,0.397777778,0.428888889
-403.774018,0.397777778,0.47
113.676393,0.452222222,0.1
62.228875,0.452222222,0.141111111
10.781357,0.452222222,0.182222222
-40.666161,0.452222222,0.223333333
-92.11368,0.452222222,0.264444444
-143.561198,0.452222222,0.305555556
-195.008716,0.452222222,0.346666667
-246.456234,0.452222222,0.387777778
-297.903752,0.452222222,0.428888889
-349.35127,0.452222222,0.47
122.078135,0.506666667,0.1
75.744062,0.506666667,0.141111111
29.409989,0.506666667,0.182222222
-16.924084,0.506666667,0.223333333
-63.258157,0.506666667,0.264444444
-109.59223,0.506666667,0.305555556
-155.926303,0.506666667,0.346666667
-202.260376,0.506666667,0.387777778
-248.594449,0.506666667,0.428888889
-294.928523,0.506666667,0.47
130.479878,0.561111111,0.1
89.25925,0.561111111,0.141111111
48.038622,0.561111111,0.182222222
6.817994,0.561111111,0.223333333
-34.402634,0.561111111,0.264444444
-75.623262,0.561111111,0.305555556
-116.843891,0.561111111,0.346666667
-158.064519,0.561111111,0.387777778
-199.285147,0.561111111,0.428888889
-240.505775,0.561111111,0.47
138.881621,0.615555556,0.1
102.774438,0.615555556,0.141111111
66.667254,0.615555556,0.182222222
30.560071,0.615555556,0.223333333
-5.547112,0.615555556,0.264444444
-41.654295,0.615555556,0.305555556
-77.761478,0.615555556,0.346666667
-113.868661,0.615555556,0.387777778
-149.975844,0.615555556,0.428888889
-186.083027,0.615555556,0.47
147.283363,0.67,0.1
116.289625,0.67,0.141111111
85.295887,0.67,0.182222222
54.302149,0.67,0.223333333
23.308411,0.67,0.264444444
-7.685327,0.67,0.305555556
-38.679065,0.67,0.346666667
-69.672803,0.67,0.387777778
-100.666542,0.67,0.428888889
-131.66028,0.67,0.47
